Date,Visite
11/20/2013,32
11/21/2013,27
11/22/2013,30
11/23/2013,25
11/24/2013,14
11/25/2013,41
11/26/2013,32
11/27/2013,48
11/28/2013,22
11/29/2013,26
11/30/2013,23
12/1/2013,27
12/2/2013,40
12/3/2013,42
12/4/2013,46
12/5/2013,49
12/6/2013,26
12/7/2013,15
12/8/2013,20
12/9/2013,33
12/10/2013,32
12/11/2013,46
12/12/2013,32
12/13/2013,38
12/14/2013,27
12/15/2013,31
12/16/2013,65
12/17/2013,33
12/18/2013,42
12/19/2013,46
12/20/2013,37
12/21/2013,20
12/22/2013,23
12/23/2013,37
12/24/2013,30
12/25/2013,16
12/26/2013,33
12/27/2013,28
12/28/2013,37
12/29/2013,18
12/30/2013,38
12/31/2013,32
1/1/2014,16
1/2/2014,31
1/3/2014,34
1/4/2014,25
1/5/2014,27
1/6/2014,47
1/7/2014,48
1/8/2014,43
1/9/2014,44
1/10/2014,46
1/11/2014,25
1/12/2014,31
1/13/2014,40
1/14/2014,45
1/15/2014,46
1/16/2014,48
1/17/2014,33
1/18/2014,29
1/19/2014,26
1/20/2014,43
1/21/2014,71
1/22/2014,43
1/23/2014,51
1/24/2014,34
1/25/2014,25
1/26/2014,30
1/27/2014,47
1/28/2014,49
1/29/2014,49
1/30/2014,48
1/31/2014,40
2/1/2014,36
2/2/2014,33
2/3/2014,45
2/4/2014,53
2/5/2014,48
2/6/2014,30
2/7/2014,34
2/8/2014,20
2/9/2014,18
2/10/2014,37
2/11/2014,47
2/12/2014,35
2/13/2014,52
2/14/2014,50
2/15/2014,27
2/16/2014,27
2/17/2014,55
2/18/2014,58
2/19/2014,51
2/20/2014,51
2/21/2014,52
2/22/2014,37
2/23/2014,36
2/24/2014,44
2/25/2014,51
2/26/2014,55
2/27/2014,48
2/28/2014,54
3/1/2014,35
3/2/2014,37
3/3/2014,60
3/4/2014,54
3/5/2014,57
3/6/2014,40
3/7/2014,35
3/8/2014,22
3/9/2014,34
3/10/2014,50
3/11/2014,64
3/12/2014,45
3/13/2014,50
3/14/2014,59
3/15/2014,29
3/16/2014,23
3/17/2014,60
3/18/2014,56
3/19/2014,58
3/20/2014,53
3/21/2014,70
3/22/2014,37
3/23/2014,28
3/24/2014,61
3/25/2014,74
3/26/2014,36
3/27/2014,51
3/28/2014,52
3/29/2014,30
3/30/2014,31
3/31/2014,59
4/1/2014,73
4/2/2014,64
4/3/2014,82
4/4/2014,63
4/5/2014,37
4/6/2014,53
4/7/2014,89
4/8/2014,89
4/9/2014,84
4/10/2014,96
4/11/2014,71
4/12/2014,55
4/13/2014,63
4/14/2014,106
4/15/2014,76
4/16/2014,102
4/17/2014,113
4/18/2014,59
4/19/2014,49
4/20/2014,50
4/21/2014,71
4/22/2014,96
4/23/2014,99
4/24/2014,100
4/25/2014,71
4/26/2014,58
4/27/2014,46
4/28/2014,83
4/29/2014,66
4/30/2014,83
5/1/2014,61
5/2/2014,67
5/3/2014,58
5/4/2014,46
5/5/2014,83
5/6/2014,76
5/7/2014,83
5/8/2014,67
5/9/2014,74
5/10/2014,49
5/11/2014,48
5/12/2014,74
5/13/2014,89
5/14/2014,86
5/15/2014,65
5/16/2014,78
5/17/2014,49
5/18/2014,61
5/19/2014,81
5/20/2014,98
5/21/2014,93
5/22/2014,76
5/23/2014,65
5/24/2014,46
5/25/2014,37
5/26/2014,89
5/27/2014,105
5/28/2014,87
5/29/2014,77
5/30/2014,61
5/31/2014,47
6/1/2014,48
6/2/2014,81
6/3/2014,75
6/4/2014,91
6/5/2014,91
6/6/2014,77
6/7/2014,48
6/8/2014,29
6/9/2014,85
6/10/2014,102
6/11/2014,95
6/12/2014,94
6/13/2014,78
6/14/2014,46
6/15/2014,58
6/16/2014,88
6/17/2014,107
6/18/2014,114
6/19/2014,71
6/20/2014,82
6/21/2014,49
6/22/2014,45
6/23/2014,92
6/24/2014,99
6/25/2014,79
6/26/2014,76
6/27/2014,86
6/28/2014,49
6/29/2014,44
6/30/2014,77
7/1/2014,94
7/2/2014,100
7/3/2014,91
7/4/2014,70
7/5/2014,51
7/6/2014,37
7/7/2014,88
7/8/2014,90
7/9/2014,105
7/10/2014,89
7/11/2014,76
7/12/2014,48
7/13/2014,42
7/14/2014,91
7/15/2014,101
7/16/2014,101
7/17/2014,75
7/18/2014,93
7/19/2014,49
7/20/2014,36
7/21/2014,92
7/22/2014,75
7/23/2014,122
7/24/2014,85
7/25/2014,86
7/26/2014,61
7/27/2014,45
7/28/2014,90
7/29/2014,101
7/30/2014,86
7/31/2014,77
8/1/2014,94
8/2/2014,45
8/3/2014,45
8/4/2014,70
8/5/2014,105
8/6/2014,103
8/7/2014,105
8/8/2014,63
8/9/2014,26
8/10/2014,48
8/11/2014,86
8/12/2014,80
8/13/2014,86
8/14/2014,73
8/15/2014,71
8/16/2014,42
8/17/2014,58
8/18/2014,92
8/19/2014,86
8/20/2014,90
8/21/2014,81
8/22/2014,76
8/23/2014,74
8/24/2014,50
8/25/2014,77
8/26/2014,83
8/27/2014,79
8/28/2014,76
8/29/2014,57
8/30/2014,32
8/31/2014,46
9/1/2014,61
9/2/2014,72
9/3/2014,91
9/4/2014,79
9/5/2014,63
9/6/2014,38
9/7/2014,36
9/8/2014,74
9/9/2014,85
9/10/2014,64
9/11/2014,86
9/12/2014,75
9/13/2014,43
9/14/2014,43
9/15/2014,73
9/16/2014,84
9/17/2014,84
9/18/2014,71
9/19/2014,68
9/20/2014,39
9/21/2014,33
9/22/2014,74
9/23/2014,76
9/24/2014,73
9/25/2014,77
9/26/2014,70
9/27/2014,46
9/28/2014,44
9/29/2014,80
9/30/2014,81
10/1/2014,64
10/2/2014,62
10/3/2014,63
10/4/2014,38
10/5/2014,40
10/6/2014,80
10/7/2014,80
10/8/2014,73
10/9/2014,78
10/10/2014,67
10/11/2014,35
10/12/2014,51
10/13/2014,68
10/14/2014,67
10/15/2014,71
10/16/2014,63
10/17/2014,54
10/18/2014,54
10/19/2014,46
10/20/2014,90
10/21/2014,84
10/22/2014,61
10/23/2014,69
10/24/2014,48
10/25/2014,35
10/26/2014,47
10/27/2014,56
10/28/2014,82
10/29/2014,75
10/30/2014,64
10/31/2014,66
11/1/2014,43
11/2/2014,43
11/3/2014,84
11/4/2014,72
11/5/2014,80
11/6/2014,71
11/7/2014,61
11/8/2014,39
11/9/2014,54
11/10/2014,80
11/11/2014,73
11/12/2014,90
11/13/2014,69
11/14/2014,59
11/15/2014,44
11/16/2014,53
11/17/2014,84
11/18/2014,100
11/19/2014,94
11/20/2014,87
11/21/2014,86
11/22/2014,60
11/23/2014,54
11/24/2014,97
11/25/2014,86
11/26/2014,85
11/27/2014,78
11/28/2014,52
11/29/2014,67
11/30/2014,41
12/1/2014,75
12/2/2014,79
12/3/2014,68
12/4/2014,80
12/5/2014,75
12/6/2014,49
12/7/2014,42
12/8/2014,95
12/9/2014,67
12/10/2014,76
12/11/2014,103
12/12/2014,83
12/13/2014,50
12/14/2014,38
12/15/2014,82
12/16/2014,68
12/17/2014,76
12/18/2014,71
12/19/2014,52
12/20/2014,27
12/21/2014,36
12/22/2014,53
12/23/2014,53
12/24/2014,48
12/25/2014,35
12/26/2014,40
12/27/2014,28
12/28/2014,32
12/29/2014,60
12/30/2014,56
12/31/2014,49
1/1/2015,32
1/2/2015,61
1/3/2015,43
1/4/2015,45
1/5/2015,73
1/6/2015,59
1/7/2015,65
1/8/2015,76
1/9/2015,60
1/10/2015,42
1/11/2015,32
1/12/2015,64
1/13/2015,64
1/14/2015,63
1/15/2015,87
1/16/2015,75
1/17/2015,45
1/18/2015,49
1/19/2015,84
1/20/2015,99
1/21/2015,69
1/22/2015,72
1/23/2015,70
1/24/2015,45
1/25/2015,53
1/26/2015,81
1/27/2015,79
1/28/2015,94
1/29/2015,78
1/30/2015,85
1/31/2015,42
2/1/2015,40
2/2/2015,71
2/3/2015,77
2/4/2015,69
2/5/2015,60
2/6/2015,61
2/7/2015,45
2/8/2015,36
2/9/2015,57
2/10/2015,85
2/11/2015,84
2/12/2015,79
2/13/2015,55
2/14/2015,36
2/15/2015,42
2/16/2015,105
2/17/2015,56
2/18/2015,82
2/19/2015,68
2/20/2015,81
2/21/2015,36
2/22/2015,52
2/23/2015,88
2/24/2015,98
2/25/2015,91
2/26/2015,86
2/27/2015,76
2/28/2015,54
3/1/2015,39
3/2/2015,79
3/3/2015,75
3/4/2015,83
3/5/2015,76
3/6/2015,73
3/7/2015,35
3/8/2015,52
3/9/2015,58
3/10/2015,77
3/11/2015,82
3/12/2015,82
3/13/2015,62
3/14/2015,41
3/15/2015,48
3/16/2015,65
3/17/2015,80
3/18/2015,77
3/19/2015,87
3/20/2015,71
3/21/2015,38
3/22/2015,35
3/23/2015,79
3/24/2015,87
3/25/2015,89
3/26/2015,87
3/27/2015,57
3/28/2015,42
3/29/2015,40
3/30/2015,71
3/31/2015,82
4/1/2015,83
4/2/2015,82
4/3/2015,65
4/4/2015,49
4/5/2015,59
4/6/2015,74
4/7/2015,74
4/8/2015,84
4/9/2015,79
4/10/2015,72
4/11/2015,48
4/12/2015,36
4/13/2015,81
4/14/2015,98
4/15/2015,79
4/16/2015,71
4/17/2015,79
4/18/2015,47
4/19/2015,50
4/20/2015,81
4/21/2015,88
4/22/2015,96
4/23/2015,80
4/24/2015,88
4/25/2015,32
4/26/2015,46
4/27/2015,82
4/28/2015,101
4/29/2015,80
4/30/2015,69
5/1/2015,41
5/2/2015,40
5/3/2015,48
5/4/2015,90
5/5/2015,104
5/6/2015,91
5/7/2015,114
5/8/2015,110
5/9/2015,66
5/10/2015,59
5/11/2015,100
5/12/2015,100
5/13/2015,96
5/14/2015,92
5/15/2015,99
5/16/2015,53
5/17/2015,62
5/18/2015,66
5/19/2015,119
5/20/2015,107
5/21/2015,93
5/22/2015,102
5/23/2015,46
5/24/2015,49
5/25/2015,99
5/26/2015,117
5/27/2015,110
5/28/2015,107
5/29/2015,100
5/30/2015,42
5/31/2015,42
6/1/2015,107
6/2/2015,101
6/3/2015,109
6/4/2015,102
6/5/2015,125
6/6/2015,61
6/7/2015,52
6/8/2015,97
6/9/2015,108
6/10/2015,96
6/11/2015,100
6/12/2015,96
6/13/2015,46
6/14/2015,47
6/15/2015,80
6/16/2015,96
6/17/2015,115
6/18/2015,121
6/19/2015,114
6/20/2015,44
6/21/2015,43
6/22/2015,111
6/23/2015,92
6/24/2015,102
6/25/2015,99
6/26/2015,93
6/27/2015,42
6/28/2015,48
6/29/2015,91
6/30/2015,127
7/1/2015,96
7/2/2015,109
7/3/2015,81
7/4/2015,37
7/5/2015,44
7/6/2015,113
7/7/2015,127
7/8/2015,140
7/9/2015,127
7/10/2015,97
7/11/2015,44
7/12/2015,36
7/13/2015,84
7/14/2015,92
7/15/2015,90
7/16/2015,110
7/17/2015,88
7/18/2015,44
7/19/2015,44
7/20/2015,93
7/21/2015,100
7/22/2015,96
7/23/2015,101
7/24/2015,82
7/25/2015,51
7/26/2015,42
7/27/2015,107
7/28/2015,99
7/29/2015,79
7/30/2015,117
7/31/2015,103
8/1/2015,46
8/2/2015,36
8/3/2015,104
8/4/2015,120
8/5/2015,101
8/6/2015,97
8/7/2015,82
8/8/2015,43
8/9/2015,47
8/10/2015,95
8/11/2015,137
8/12/2015,134
8/13/2015,106
8/14/2015,84
8/15/2015,52
8/16/2015,50
8/17/2015,106
8/18/2015,132
8/19/2015,98
8/20/2015,97
8/21/2015,109
8/22/2015,64
8/23/2015,44
8/24/2015,103
8/25/2015,113
8/26/2015,111
8/27/2015,107
8/28/2015,95
8/29/2015,50
8/30/2015,53
8/31/2015,124
9/1/2015,136
9/2/2015,136
9/3/2015,144
9/4/2015,97
9/5/2015,59
9/6/2015,62
9/7/2015,100
9/8/2015,132
9/9/2015,123
9/10/2015,103
9/11/2015,86
9/12/2015,46
9/13/2015,48
9/14/2015,102
9/15/2015,132
9/16/2015,112
9/17/2015,125
9/18/2015,111
9/19/2015,51
9/20/2015,59
9/21/2015,116
9/22/2015,118
9/23/2015,146
9/24/2015,127
9/25/2015,109
9/26/2015,55
9/27/2015,40
9/28/2015,89
9/29/2015,99
9/30/2015,107
10/1/2015,105
10/2/2015,74
10/3/2015,39
10/4/2015,33
10/5/2015,113
10/6/2015,114
10/7/2015,102
10/8/2015,116
10/9/2015,105
10/10/2015,60
10/11/2015,70
10/12/2015,119
10/13/2015,120
10/14/2015,126
10/15/2015,138
10/16/2015,115
10/17/2015,84
10/18/2015,66
10/19/2015,132
10/20/2015,148
10/21/2015,114
10/22/2015,120
10/23/2015,122
10/24/2015,59
10/25/2015,65
10/26/2015,129
10/27/2015,133
10/28/2015,151
10/29/2015,141
10/30/2015,158
10/31/2015,68
11/1/2015,66
11/2/2015,171
11/3/2015,166
11/4/2015,171
11/5/2015,160
11/6/2015,138
11/7/2015,64
11/8/2015,40
11/9/2015,107
11/10/2015,138
